time,Fx_true,Fy_true,Fz_true,Mx_true,My_true,Mz_true,rpm,psi_deg,omega_dot,thrust,torque_aero,v_induced_mean,v_inf,inflow_angle_deg
0.000525,2.60208521e-18,-1.73472348e-18,0.0902211864,8.13151629e-20,-1.08420217e-19,-0.00032601777,27309.072,86.0235767,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00053,-3.25260652e-19,1.73472348e-18,0.0902211864,-6.77626358e-21,1.08420217e-19,-0.00032601777,27309.072,86.8428488,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000535,-9.75781955e-19,0,0.0902211864,0,1.08420217e-19,-0.00032601777,27309.072,87.662121,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00054,-1.19262239e-18,-1.73472348e-18,0.0902211864,-2.71050543e-20,-5.42101086e-20,-0.00032601777,27309.072,88.4813931,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000545,-4.58075418e-18,3.46944695e-18,0.0902211864,-1.49077799e-19,1.08420217e-19,-0.00032601777,27309.072,89.3006653,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00055,-6.77626358e-19,1.73472348e-18,0.0902211864,-2.03287907e-20,1.08420217e-19,-0.00032601777,27309.072,90.1199375,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000555,-7.58941521e-19,0,0.0902211864,-1.01643954e-20,0,-0.00032601777,27309.072,90.9392096,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00056,-5.69206141e-19,0,0.0902211864,-6.77626358e-21,-5.42101086e-20,-0.00032601777,27309.072,91.7584818,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000565,2.92734587e-18,-1.73472348e-18,0.0902211864,7.45388994e-20,-1.08420217e-19,-0.00032601777,27309.072,92.5777539,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00057,-7.58941521e-19,1.73472348e-18,0.0902211864,-1.01643954e-20,5.42101086e-20,-0.00032601777,27309.072,93.3970261,0,0.0902211864,0.00032601777,7.79267449,0,0
0.000575,-8.67361738e-19,1.73472348e-18,0.0902211864,-1.69406589e-20,5.42101086e-20,-0.00032601777,27309.072,94.2162983,0,0.0902211864,0.00032601777,7.79267449,0,0
0.00058,-9.75781955e-19,0,0.0902211863,-4.65868121e-20,-5.42101086e-20,-0.00032601777,27309.072,95.0355704,0,0.0902211863,0.00032601777,7.79267449,0,0
0.000585,-4.01154804e-18,5.20417043e-18,0.0902211863,-1.17314063e-19,1.62630326e-19,-0.00032601777,27309.072,95.8548426,0,0.0902211863,0.00032601777,7.79267449,0,0
0.00059,-8.67361738e-19,-1.73472348e-18,0.0902211863,-8.89384595e-21,5.42101086e-20,-0.00032601777,27309.072,96.6741147,0,0.0902211863,0.00032601777,7.79267449,0,0
0.000595,-8.67361738e-19,-1.73472348e-18,0.0902211863,-5.5480658e-20,5.42101086e-20,-0.00032601777,27309.072,97.4933869,0,0.0902211863,0.00032601777,7.79267449,0,0
0.0006,-6.50521303e-19,-1.73472348e-18,0.0902211863,-2.11758237e-20,-5.42101086e-20,-0.00032601777,27309.072,98.312659,0,0.0902211863,0.00032601777,7.79267449,0,0
0.000605,2.60208521e-18,-1.73472348e-18,0.0902211863,7.45388994e-20,-5.42101086e-20,-0.00032601777,27309.072,99.1319312,0,0.0902211863,0.00032601777,7.79267449,0,0
0.00061,-8.67361738e-19,3.46944695e-18,0.0902211863,1.35525272e-20,5.42101086e-20,-0.00032601777,27309.072,99.9512034,0,0.0902211863,0.00032601777,7.79267449,0,0
